question,base,read
섬 정부가 영국 정부가 지시내리기전에 섬에서 모두 쫓아낸 민족은?,와라이 족,"유대인들의 집을 만들어줄 것을 요구하였다. 1936년 필 위원회는 팔레스타인 지구를 유태인 주와 아랍인 주로 나눌 것을 제안하였으나, 이 안은 정부가 진행할 수 없는 문제라는 이유로 기각당했으며, 부분적으로 1936년부터 1939년에 걸친 팔레스타인의 아랍인"
1930년대 흑인음악으로 백인들의 열렬한 사랑을 받았던 재즈의 한 분야는?,경음악이 보급되기 시작했다. 1930년대에 이르러 라틴 음악인,로맨틱 코미디
수사들이 전쟁의 대가로 지은 건물은?,응접실,사세충렬문
미군이 충원되지 않으면 서울이 전쟁 시작 후 2주만에 함락될 것이라 밝힌 문서는?,루이스 곳샬크,국방부 보고서
피렌체파의 대미를 수놓은 사람은?,쿠로다 칸이치,미켈란젤로
루돌로지스트들이 게임에서 가장 주된 것이라 주장하는 것은?,게임플레이,전국통일
코드 서명이 보증하는 대상은?,코드,2019 마운틴듀 글로벌 스타크래프트 II 리그 시즌 1 코드 S 32강
밀란 루키치는 그의 위법행위로 인해 어떤 형을 받았나?,살해,종신형
최재수는 2012년에 어디로 이적했는가?,스타베크 포트발 크빈네르,.
게임 발표회에서 제작기간이 부족했다고 한 사람은?,게임존의 데이비드 산체즈,백선엽
필리프가 왕실에서 쫒겨난 사건의 단초가 된 역사적 사건은?,대량 독살 사건,2월 혁명
할리퀸이 소설 분위기를 미국풍으로 바꿀 무렵 세운 자회사는?,실루엣,토르스타 코퍼레이션
사장이 부하직원에게 행사할 수 있는 권리는 무엇인가?,"기본적 권리, 즉 무엇보다도 먼저 품위 있는 생활을 정상적으로 최대한 누릴 수 있는 권리",어음상의 권리
통대를 뽑을 수 있었던 주체는 누구인가?,육군사관학교,슈워제네거
도스토옙스키를 연구할 때 큰 도움이 됐던 책은?,계미자,조선초 불교의식 연구와 간경도감의 성격 연구
국경일에 일장기를 달아도 반대하지 않을 것이라는 내용을 담은 윤치호의 일기는 언제 쓰여진 것인가?,60년,1919년 10월 1일
현직 추밀원사무처장 웨인울터즈의 선임은?,케빈 G. 린치,제17대 총리
금속을 다루는 능력의 진보가 이루어지며 등장한 대포는 무엇인가?,후장식 대포,대나무 대포
안드레우치오 디 피에트로를 몰래 지켜보던 인물은 어떤 지역 출신인가요?,이탈리아 제노바,시칠리아 여자
제1차 마른강 전투에서 이긴 국가는?,독일,오스만 제국
628년에 새롭게 왕위에 오른 사람은 누구인가요?,브리하드라타 왕조,고려 태조 왕건
박철민이 처음 연기를 시작한 것은 언제인가?,22세,2013년 8월 30일
조선인민공화국에서 최고로 높은 직위에 오른 자는?,에리트레아,"내각관방장관 밑에서 내각관방장관(정무) 및 모든 부대신으로 조직되며 내각관방장관이 주재하고 그 의장을 맡는다.

부대신"
제2함대의 편에서서 다른 문제를 제기한 인물은?,후쿠도메 시게루 중장,라스콜리니코프
여운형이 조동호와 함께 조직한 것은?,고려공산당,건국준비위원회
게요인이 슨푸로 이사간 이유는?,멕시코 독립 전쟁,인질이 된 다케치요(이에야스)의 양육을 위해
클레어에게 오세아닉 815편을 타라고 말한 사람의 이름은?,리처드 말킨,토머스
윤창중이 인턴 직원을 성추행한 것으로 알려진 날짜는?,3월 2일,5월 8일
천왕성에서 계절의 변화가 크지 않은 것은 무엇 때문인가?,빙하의 변화,"가스 행성이기 때문에 실질적으로 이 현상을 관측하려면 천왕성 주위에 있는 위성들의 표면에서 태양을 바라봐야 할 것이다. 이 경우 일면통과 발생 시각 및 기타 여건은 이론적인 시간에 비해 약간 달라질 수 있다.

공식 1/(1/P-1/Q)(여기서 P는 금성의 공전 주기 224.695일, Q는 천왕성의 공전 주기 30,799.095일임)을 이용하면 금성과 천왕성의 회합 주기는 226.347일"
진관희가 짧은 기자 회견을 가진 해는?,1908년,2009년
팔과 다리가 밋밋한 형태인 신체표현은 어떤 시기를 반영한 것인가요?,1728년,삼국시대
조선박물연구회가 공포하고자 한 것은?,〈정우회 선언〉,금지령
누가 시장으로 선출되면서 트랜짓 시티 계획안이 불발되었나?,리처드 J. 데일리,데이비드 크롬비
즈와쓰의 한계 오라력 값보다 필요 오라력 값이 낮은 기체는?,코몬,라이네크
여성 작가들이 언제부터 여성 등장인물에 관심을 가지기 시작했나요?,1990년대 초,1970년
17도선이 '잠정적인 군사분계선'으로 규정된 연도는?,1953년,2014년
유로니우스를 살해한 용의자가 소속된 밴드의 국적은?,네덜란드,영국
디즈니랜드에서 개인회원을 뽑기 시작한 년도는?,1967년,2010년
스위니 토드의 본명은?,겸,벤저민 바커
프랑크 왕족들의 무덤이 있는 곳은?,북부 아크로폴리스 33번 신전 아래,로마
사건 몇 개를 풀 때 마다 아키이시가 아이템을 주나?,이치몬지 하쿠타로,포로
학생이 테스트에서 탈락하고 다시 검증을 받는 과정은 언제까지 반복되는가?,학습자가 정보 통달에 이를 때까지,"차시 학습으로 넘어가기 이전에 그 수준의 정보에 통달하는 단계(즉, 지식 테스트의 90%에 통달하는 단계)"
공식적인 첫 새천년베이비의 이름은?,이태웅,HHV-8
다중 계정 사용자의 판별을 불가능하게 하는 것은?,2차원 도형,특정인 옹호
마지막까지 동래권번에 드나든 동래한량꾼은?,문장원,김철주
부첼라토가 지니는 전통적인 의미는?,가족의 화합,가정
독일에서 외국 영화를 상영할 수 없게 된 연도는?,1971년,1976년
공하류는 어디로 분류되는 것으로 추측하고 있는가?,세룡목,줄기군 절지동물
귀족적인 정치가의 이미지를 탈피하기 위해 노력하였으나 실패한 인물은?,숙향(叔向),이회창 후보
괴수로부터 메구밍을 구해준 사람은 누구인가?,아루에,화황여단 세이운 대장
쇼 자마가 부모에 대한 반발을 계기로 가지게 된 장래희망은?,가수,모델
용수로가 운반하는 것은?,물,목재
호적을 '남'에서 '여'로 바꾼 인물은?,케인,하리수
천자등극설'을 대중들에게 확산시킨 행사는?,‘제1회 공간 전통음악의 밤’,닌텐도 스페이스 월드
전반전이 6분이 지난 후 골을 넣은 선수는?,양승원,오세아누 다 크루스로
19세기 후반의 장갑함에 사용된 화포 형식은?,노포탑(露砲塔),제2차
타격이 시작되는 것은 대상이 어디에 나타날 때인가?,변경 변화,투사체의 궤적
<어린이와 가정을 위한 이야기>는 원래 몇 편의 이야기로 구성되었나?,86 편의,156편
금기시된 소재를 다룬 소설이 출간된 해는?,2011년,1988년
공소권이 사라질 경우 무엇에서 벗어나게 되는가?,광,군대의 지휘
총선에서 듀이를 꺾은 사람은?,프랭클린 D. 루스벨트,스타일스 브리지스
석가모니 부처가 태어난 곳은 어디인가?,바이샬리에,보광여래(普光如來) 밑
헌재 결정에 대해 적극적으로 동의한 당은?,사민당,민주당
보니파시오가 캔터베리 대주교에게 권고 서신을 보낸 적 있다고 말한 사람은?,골룸바노,황리페이 박사
에센의 시장에 하이네만이 당선된 해는?,1946년,2012
토산물을 착취하는 등과 같은 업무의 명목은?,'마녀 감옥',공물법
베트남전 진실위원회 이후에 세워진 단체의 대표는 누구인가요?,"올렉산드르 다닐류크였다가, 이후에는 키예프의 시장인 레오나드 체르노베스키",노화욱
17세기 피쿼트로부터 독립하여 모하칸족을 만든 사람은?,모히칸족,를르네 지카르트
표준어 보급으로 오키나와현에서 고사될 위기에 있는 언어는?,원주민 언어,유럽어
피아노 협주곡 5번의 첫 공개 초연이 이루어진 해는?,1796년,1830년
1876년 일반 투표에서 틸던에 패배한 인물은?,러더퍼드 B. 헤이스,헨드릭스
통진당을 해산시킨 결정을 인정한다고 직접 말한 인물은?,최종훈,김이수 재판관
펌프가 발매된 해는 언제인가?,2004년,1939년
양산이씨 종가가 보유한 왕지 중 양산이씨의 시조와 관련한 왕지는 몇 점이 있는가?,4점,왕지 1점
미치류가 해안가를 통해 다른 곳으로 이동했다는 주장을 뒷받침하는 것은?,뿌옇고,물적 증거
신립이 스스로 목숨을 끊은 곳은?,포항교도소,서울 송파구 잠실동 자택
일제강점기 당시 형조와 같은 역할을 한 기관은?,법무부,한성부
《서편 삼층석탑》은 어느 지역의 유형문화재로 지정되어있나요?,강원도,서울시
이유립씨가 1970년대 중반에 본인의 글을 기고하기 시작한 곳은?,'나의 플레이톡',경주고적보존회를 거쳐 경주박물관
헌터가 조지아에서 지시한 사항은 무엇인가?,베리아,노예를 해방
진시황이 죽은 이후 황제의 자리에 즉위한 인물은 누구인가?,카루스,호해
타코벨을 한국에 세 번째로 도입한 회사는?,피자헛,"보드가야 보리수나무는 석가모니 부처님이 득도한 보리수나무의 씨앗을 채취해 묘목으로 키운 것으로 태국과 스리랑카에 이어 한국에 세 번째로 선물했다. 인도 정부는 이 인도보리수가 석가모니 부처의 현신과 같은 존재로 여겨 함부로 나무를 증식하는 데 반대한다. 

2019년 2월 22일, 나렌드라 모디 인도 총리가 한국을 국빈방문해 문재인 대통령과 정상회담을 했다. 인도 정부는 김해시"
네델란드와의 친선 경기에서 유일하게 골을 넣은 선수의 소속팀은?,몽펠리에,도르트문트
로마의 인력 수급에 중요한 역할을 한 나라는?,그리스,이집트
린후이인이 원래 진학하고 싶어했던 과는?,미술과,사회학부
이무훈에게 살해당한 인물의 직책은?,영역,황제
아나톨은 언제부터 작성되었나요?,1932년,1887년
이보담은 어느 절에서 스님이 되었는가?,봉원사,금강산 보광암
독일의 식민 지배는 언제까지 지속됐는가?,1918년,1960년 초반 아프리카인들의 독립 이전
러시아가 동원령을 내린 것은 어느 나라를 견제하기 위해서인가?,만주,프랑스
소설 <형제>의 작가가 태어난 지역은?,충남 부여,뉴욕시
티칼왕조의 창건자는 몇 번 무덤에 묻혔다고 알려져있나?,'약스 엡 쑤크',킨초 알도브란디니 추기경뿐만 아니라 티론의 백작 휴 오닐도 이 성당에 묻혀 있다.
부부가 딸을 차에 태운 곳은?,창문 바깥 발코니 턱,목포
시켈리아 원정을 기획한 국가는?,일본,아테네
슈파이어 대성당 2차 축조시에 가장 우선순위로 고려했던 천장 건축 방식은?,중세 양식,그로인볼트로
누아다가 오른손이 없는 이유는 누구 때문인가?,엄마,마귀
너비아니에 돼지고기를 사용한 시대는?,조선 후기,1970년대
인간에게 불타는 느낌의 아픔을 주는 것은?,전염병,V-칩
오늘날 양치식물이 다 자랐을 때 최대 높이는 몇 미터 미만인가?,3미터,30m
틸의 삼촌댁 방문을 걱정한 인물은?,어머니,주은래도
보닌이 살인 혐의로 체포되어 받은 형벌은?,종신형,자동차 절도죄
질량을 킬로그램으로 정의하는 단위 규칙은 무엇인가?,미터법,1u
19세기 가곡이 성행하는 데 큰 역할을 한 인물은?,슈베르트,미네젱거나 트루바두르
워렌이 스스로 영화를 제작할 수 있음을 입증하여 승부에서 이긴 상대는 누구인가?,스털링 실리펀트,안토니우 호드리구
헨리 5세가 1415년에 프랑스 북쪽을 공격하기 위해 동원한 군사는 몇 명인가?,"약 12,000명","12,000명"
Yoo Doo Right이 수록된 앨범명은?,Jazzy Ivy,1집
고스자쿠 천황이 사망한 연도는?,1185년),1045년
베언트 푀어슈터 덕분에 얻은 페널티 킥을 누가 하였는가?,입사,플라티니
장면이 정치보복에 반대하는 입장에서 처벌을 원치 않은 대상은?,사망한 사망자의 유가족들,황제
상하이의 북역과 남역 모두를 자유롭게 타기 시작했던 해는?,1908년,1916년
10세기 초에 글라골 문자와 그리스 문자를 이용해 새롭게 만들어 낸 문자는?,브라흐미 문자,키릴 문자
모스크바로 가기 위한 여권이 필요한 사람은?,노르딕 국민,현지인
자신의 사리사욕만 채우며 무능했던 진나라의 황제는?,2세 황제,유스티니아누스 1세
베단타 학파와 차르바카파는 무엇을 기준으로 나뉘어졌나요?,나스티카,힌두교
2008년에 니콜리치와 대선에서 맞붙어 승리한 인물은?,보리스 타디치,존 쿠푸오르
속리산에서 임경업 장군의 설화가 깃들어있는 곳은 어디인가?,입석대,보은
레빌 장군은 무엇이 없었기 때문에 실망했나?,허튼 V. 화이트 대령,'검은 3연성'
2010년 국가대표팀 훈련에 참가한 이다혜가 독일로 돌아가게 된 이유는?,우루과이 국적의 호르헤 라리온다,학업에 집중하기 위해
산악 자전거 프리 라이드 부문에 출전하는 마틴 소더스트롬이 이용하는 제품은?,스페셜라이즈드의 P 시리즈,P 시리즈
스탈린그라드의 소련군 중 사정이 나았던 부대는?,추이코프의 62군,B 집단군 예하 6 군
보닌의 흉터는 어디서 만들어졌을거라 추측되는가?,아구라,프리웨이 킬러 피해자
낮에는 어떤 바람이 부는가?,16 °C를,선풍기
공격적 현실주의와 대비되는 고전적 현실주의를 설파한 인물은?,우드로 윌슨,모겐소
수증기가 물이 되는 과정에서 가해지는 것은?,압력,열기
야전의 전투 제한 시간은?,1시간 30분,반분
노동운동 단체가 소멸하기 시작한 연도는?,1947년,2003년
모세상은 누구를 위해 만들어졌었는가?,하나님,종
프리비슬린스키 크라이는 어느 나라에 소속되어 있었는가?,아라크노포비아,러시아
과거 우리나라의 전국지는 어디서 출간되었나?,일본신문(朝日·每日·日本經濟·産經新聞)들은 현재 동경,서울
<구해줘> 바로 이전에 출간된 책은?,<<조기천 전집>>,《완전한 죽음》
강희제가 310 마리의 토끼를 사냥하려면 얼마나 걸리는가?,하루,583
이회광이 이용구의 추천으로 원종 고문 자리에 세운 사람은?,일본인 승려 다케다 한시(武田範之),다케다는
우치쿠라노 이시메가 작성한 내용이 실린 기록은 무엇인가요?,사이언스 지에,《소우기》(小右記)
앙드레-귀스타브 시트로엥이 만든 기업 이름은?,제너럴 일렉트릭,자동차 회사 시트로엥
아랑을 살해한 사람은?,오원춘,천연두
크리스티앙 드카스를 포로로 잡은 인물은 누구인가?,토마스 헌트,따끄옥루앗
클린턴이 대통령 선거 초반에 내걸었던 정책은?,군대 내 성소수자 권리 정책,외교정책
정치적 코미트를 담고있는 작품은?,《몬트리올시 창설자에 대한 오마주》,『일곱 건의 살인에 대한 간략한 역사』
다키스트 던전을 만든 회사는?,골드만,웨스트우드사
와그너법령이 통과된 해는?,1934년,1999년
조선수군의 길목을 차단하기 위해 일본군이 설치한 왜성이 위치한 장소는?,남해안,가덕수로
도플라밍고가 해군에 체포되기 전에 서로 싸웠으며 그가 현상금 3억 베리를 건 인물은 누구인가?,우솝에게,리쿠 돌드 3세
동맹을 맺음으로써 헝가리는 자유를 비롯해 무엇을 잃었나?,독립,"호르티의 아들을 납치한 후 헝가리의 항복을 받아내자 독일은 호르티를 배반자로 취급하며 1944년 10월 11일에 납치한다. 헝가리는 같은 해 12월 31일 독일에 선전포고를 하지만, 화살십자당"
해적중의 활동을 승인한 것은?,무로마치 막부,한국여자농구연맹
대가족제도에서 차별의식을 더욱 강화시켰던 문화는?,유교문화,앵글족의 문화
보디 스타킹에서 봉제되지 않은 부분은?,나비,국부 부분
경신자오단오제가 지금의 이름이 되기 직전의 명칭은 무엇이었는가?,히포캠프(Hippocamp),"""소토보 선"""
잘리어 왕조의 초대황제 이름은?,무함마드 6세,콘라트 2세
나가시마에게 감독직을 맡아줄 것을 가장 열렬히 부탁했던 팀은?,요미우리,요미우리 자이언츠
쿠챤과 밀로셰비치의 협의에 대해서 작성한 작가의 출신국가는?,세르비아,미국
히키코모리가 유독 많아졌던 세대는?,2000년대,젊은 시절
장하준 교수의 한국경제에 대한 생각에 대해 반론한 김상조 교수의 저서는?,《나쁜 사마리아인들》,‘그들이 말하지 않는 23가지’
필리포스 5세와 영토를 공유하기로 합의한 사람은?,클레오파트라 에우리디케,안티오코스 3세
무관학교를 설립한 인물은?,정윤영,태황제
바이츠만은 어떤 나라를 향해 밸푸어 선언을 했나요?,스뮈츠는,시오니즘주의자들
navigation'이 올라온 사이트는?,게임스비즈(GamesBids.com),"오픈 허브(Open Hub, 과거 올로(Ohloh))"
삼길암 목조관음보살좌상이 조성된 해는?,1758년,1726년
베이핑-톈진 전투가 시작된 연도는?,2010년,11월
리자베타가 꿈 속에서 들었던 장소에 실제로 찾아가 발견한 것은?,남자의 시체,꽃
아르튀르가 베르린과의 연애생활을 한 경험을 쓴 시집이름은?,"""일천 동지들에게 고함""",새 영어 찬송가집
화물과 배가 시내 가까이에 갈 수 있는지의 여부를 정하는 기준이 된 문서는?,P 문서,건강증서
파라메스와르가 해적의 도움으로 세운 나라는?,믈라카 술탄국,오스만제국
스위스가 월드컵에서 이긴 나라는?,이탈리아,독일
보덕이 전주 도달산에 세운 절은?,경복사,일락사
신혜왕후가 묻혀있는 지역은?,보성,보정(寶頂)
엔도에게 차키를 돌려주려던 사람은？,나츠키(에스미 마키코),카에데 소이치로
갈릴레오 호 직전에 관측을 진행한 발사체의 이름은?,카시니 탐사선,갈릴레오 호
정치 형태를 홍보하려는 목적으로 류경 스마트폰에 내장된 책의 이름은 무엇인가?,폭풍마경4,삼흥
최초로 공산주의 정당을 제외한 선거 이후 메리가 맡은 직책은?,댄서 제리 트레버스,사회주의통일당(SED) 서기장이
월드컵에 출전 한 다른 나라에 비해 대한민국 선수들이 강하지 못한 부분은 무엇인가?,네덜란드,독일
불보살이 천도할 대상은?,세지보살,망자
퀵실버(영화)에서 집시를 고가도로에서 추락시킨 사람을 연기한 배우는?,하정우,쿠니스
위트레흐트 육군 군의학교가 폐교된 해는 언제인가요?,2004년,1875년
코르비니아노가 비판한 인물은 누구와 혼인하였나요?,그리모알드,최윤례
아랍 연합 공화국은 어느 국가를 상대로 전쟁을 벌였는가?,크리스톱시스,이스라엘
제6군이 18일 동안이나 대기해야 했던 장소는?,칼라치 전방 약250km 지점,브룩 육군의료원
후방에 배치된 돈 후안 호세 나바로의 함대의 배는 몇 척인가?,230척,12척
메리의 사촌은 어디에서 영웅으로 활약하기도 했나요?,소비에트 연방,샬러츠빌
티나헤로가 아칸바로의 유적을 날조한 것이라고 주장한 인물은?,데이 페소,고고학자 찰스 디 페소 (:en:Charles C. Di Peso)
목포근대역사관 본관의 건축 양식은?,르네상스 양식,프랑스 식민지 시대 양식
텔 아파르나 키프리를 탈환하기 위해 계획 중인 집단이 소속된 나라는 어디인가?,ISIL,IS
안채와 사랑채 사이에 있는 장소의 앞면은 몇 칸인가요?,3칸,7칸
군자면에서 당 선전으로 활동한 사람들의 직업은?,초등학교 교원,국회의원
타입 2 가이아 메모리을 만든 집단은?,재단 X,"""자프트"""
처음에는 후짱을 반대했지만 마지막에 후짱의 도움을 받은 인물은?,프리큐어들,오카모토
타누당(TANU)를 설립한 인물이 태어난 해는?,1917년,1922년
대학원에서 수업을 듣던 시절 소설을 출품하던 곳은 어디었는가?,구인회의,교지 편집부
고구려에 크게 지고 그 전쟁때문에 병이나서 죽은 당나라 왕은?,수 양제(煬帝),당 태종
알키온의 주교 자리를 빼앗은 사람은?,알베리크 2세,어윈
시바사키의 이전 소속 부서는?,경시청,안기부
중국 국민당정부의 도움으로 1932년 설립된 교육 기관은?,군사위원회,조선혁명간부학교
강요에 의한 개혁이 아니라 긴 기간 동안 의회의 권한을 키운 국가는?,영국,미국
국부 제거술로 인한 환관지망생들의 사망률은?,80~90% 확률,1/1000
군부세력들이 어떤 상황을 빌미로 쿠테타를 일으키려고 했나?,사회적 긴장,메이오 정변
진평공이 통치할 때 망해서 사라진 가문은?,다테 가문,피에스키 가문
아델리 펭귄의 목숨에 지장을 주는 사람의 업종은 무엇인가요?,신사용 양품 가게,해운업
베토벤이 받았던 후원 요금을 칭하는 단어는 무엇인가요?,"""판(van)""","""연금"""
"고석포, 장군석, 할망바우라는 이름을 가진 바위는 무엇으로 유명한가?",2,암굴의 바위
석조지장보살상이 조각되지 않았을 것으로 추정되는 시기는?,17세기대로,303년
보스턴 차 사건이 발발한 년도는?,1721년,1773년
논문으로 플라톤주의의 허점을 언급한 사람은?,폴 베나세라프,테그마크
작센군과 오스트리아군은 함께 어디를 공격할 예정이였나?,베를린,호크키르히(Hochkirch)
1994년 FIFA 월드컵 당시 대한민국 축구 대표팀의 감독은 누구인가?,거스 히딩크 감독,오카다 다케시
인천상륙장면의 재촬영에 소요된 금액은?,120일,4000만 달러
윤치호의 아내는 누구의 부인을 방문했나?,서재필,"마수진, 백매려"
